File,InitTime,RenderTime,TotalTime
tests/combinationAll.rt,0.000,1.527,1.547
tests/combinationSpCy.rt,0.000,0.725,0.745
tests/cylinder.rt,0.000,0.630,0.650
tests/gridOfSpheres.rt,0.000,1.581,1.601
tests/largeScene.rt,0.001,8.991,9.010
tests/minimal.rt,0.000,0.180,0.199
tests/performanceBenchmark.rt,0.000,0.908,0.927
tests/plane.rt,0.000,0.552,0.571
tests/simpleScene.rt,0.000,2.448,2.467
tests/simpleShadow.rt,0.000,0.766,0.786
tests/sphere.rt,0.000,0.451,0.471
tests/edge/cameraInsideSphere.rt,0.000,0.912,0.931
tests/edge/extremeFOV.rt,0.000,0.320,0.339
tests/edge/lightInsideObject.rt,0.000,0.334,0.353
tests/edge/maxAmbientLight.rt,0.000,0.433,0.453
tests/edge/paralelRayPlane.rt,0.000,0.524,0.543
tests/edge/veryLargeSphere.rt,0.000,0.936,0.955
tests/edge/verySmallSphere.rt,0.000,0.307,0.326
tests/edge/zeroAmbientLight.rt,0.000,0.425,0.445
tests/lighting/acneShadow.rt,0.000,0.725,0.744
tests/lighting/colorBleedingAproximation.rt,0.000,0.937,0.956
tests/lighting/hardShadow.rt,0.000,0.742,0.762
tests/lighting/lightIntensityFalloff.rt,0.000,0.574,0.593
tests/stress/cylinderCapsAlignment.rt,0.000,0.474,0.494
tests/stress/objectsBehindCamera.rt,0.000,0.324,0.343
tests/stress/overlappingSpheres.rt,0.000,0.639,0.659
tests/stress/tangentRay.rt,0.000,0.414,0.434
tests/stress/zFightingStylePrecision.rt,0.000,1.040,1.060
tests/strict/3Dgrid.rt,0.000,1.230,1.249
tests/strict/basicCornelBox.rt,0.000,3.139,3.158
tests/strict/cameraRotationTest.rt,0.000,0.488,0.507
tests/strict/narrowFOV.rt,0.000,0.445,0.464
tests/strict/planeGradientTest.rt,0.000,0.753,0.772
tests/strict/singleSphereCentered.rt,0.000,0.366,0.385
tests/strict/symmetryTest.rt,0.000,0.487,0.506
tests/strict/wideFOV.rt,0.000,0.312,0.331
