File,InitTime,RenderTime,TotalTime
tests/combinationAll.rt,0.000,1.526,1.545
tests/combinationSpCy.rt,0.000,0.684,0.703
tests/cylinder.rt,0.000,0.571,0.590
tests/gridOfSpheres.rt,0.000,1.475,1.494
tests/largeScene.rt,0.001,7.731,7.751
tests/minimal.rt,0.000,0.178,0.197
tests/performanceBenchmark.rt,0.000,0.821,0.841
tests/plane.rt,0.000,0.498,0.517
tests/simpleScene.rt,0.000,2.109,2.128
tests/simpleShadow.rt,0.000,0.702,0.720
tests/sphere.rt,0.000,0.396,0.415
tests/edge/cameraInsideSphere.rt,0.000,0.865,0.885
tests/edge/extremeFOV.rt,0.000,0.291,0.311
tests/edge/lightInsideObject.rt,0.000,0.312,0.331
tests/edge/maxAmbientLight.rt,0.000,0.395,0.413
tests/edge/paralelRayPlane.rt,0.000,0.513,0.532
tests/edge/veryLargeSphere.rt,0.000,0.850,0.870
tests/edge/verySmallSphere.rt,0.000,0.288,0.307
tests/edge/zeroAmbientLight.rt,0.000,0.414,0.433
tests/lighting/acneShadow.rt,0.000,0.664,0.683
tests/lighting/colorBleedingAproximation.rt,0.000,0.855,0.874
tests/lighting/hardShadow.rt,0.000,0.655,0.674
tests/lighting/lightIntensityFalloff.rt,0.000,0.512,0.530
tests/stress/cylinderCapsAlignment.rt,0.000,0.470,0.489
tests/stress/objectsBehindCamera.rt,0.000,0.293,0.312
tests/stress/overlappingSpheres.rt,0.000,0.595,0.615
tests/stress/tangentRay.rt,0.000,0.395,0.414
tests/stress/zFightingStylePrecision.rt,0.000,0.940,0.959
tests/strict/3Dgrid.rt,0.000,1.030,1.049
tests/strict/basicCornelBox.rt,0.000,2.747,2.767
tests/strict/cameraRotationTest.rt,0.000,0.424,0.443
tests/strict/narrowFOV.rt,0.000,0.455,0.474
tests/strict/planeGradientTest.rt,0.000,0.684,0.703
tests/strict/singleSphereCentered.rt,0.000,0.330,0.349
tests/strict/symmetryTest.rt,0.000,0.429,0.448
tests/strict/wideFOV.rt,0.000,0.309,0.328
